# Vocabulario — 14390 palabras únicas

PALABRA                        FRECUENCIA
pedimos                                 1
pedir                                   4
pedirle                                 3
pedro                                  41
pedí                                    2
pedía                                   3
pedían                                  2
pegada                                  1
pegado                                  2
pegamento                               1
pegan                                   1
pegar                                   1
pegaron                                 2
pego                                    1
pegándose                               1
pegó                                    1
peinó                                   1
pekerman                                1
pelados                                 1
pelar                                   2
pelarla                                 1
peldaños                                1
pelea                                   2
peleando                                1
pelear                                  3
peligro                                 5
peligrosamente                          1
peligroso                               3
pellejo                                 1
pellizca                                1
pellizcando                             1
pellizco                                1
pelo                                    3
pelos                                   4
pelota                                  5
pelotas                                 1
pelotones                               7
pelotón                                13
película                                4
películas                               1
pena                                    8
penalista                               1
penas                                   4
pendiendo                               1
pendiente                               2
pendientes                              2
pendía                                  1
penetración                             1
penitentes                              1
pensaba                                 7
pensado                                 1
pensamiento                            13
pensamientos                           17
pensamos                                2
pensando                               13
pensar                                 44
pensara                                 1
pensarla                                1
pensarlo                                1
pensaron                                1
pensarse                                1
pensarán                                1
pensemos                                1
pensábamos                              2
pensándolo                              1
pensé                                  10
pensó                                  10
penthouse                               2
peonada                                 2
peones                                  3
people                                  1
peor                                   14
peores                                  1
peperina                                1
pepino                                  1
pepita                                 39
pequeña                                10
pequeñas                                9
pequeñez                                3
pequeño                                 6
pequeños                                7
per                                     1
peras                                   1
percatase                               1
percepción                              2
percha                                  1
percibe                                 1
percibir                                4
percibo                                 2
percutor                                1
perdedor                                2
perdedores                              4
perdemos                                2
perder                                 12
perderlo                                1
perderse                                1
perderá                                 1
perdería                                2
perdida                                 7
perdidas                                4
perdido                                12
perdidos                                2
perdiendo                               1
perdieron                               2
perdigón                                1
perdimos                                2
perdiéndome                             1
perdiéramos                             1
perdió                                  9
perdoname                               1
perdonar                                1
perdone                                 2
perdéte                                 1
perdí                                   3
perdía                                  8
perdían                                 1
perdón                                  8
perdóname                               1
perdóneme                               1
pereira                                 2
perejil                                 1
perestroika                             2
perez                                   5
pereza                                  2
perezosa                                1
perezosos                               1
perfeccionamiento                       1
perfeccionando                          1
perfeccionaron                          1
perfección                              3
perfecta                                4
perfectamente                          18
perfecto                                4
perfectos                               1
perfil                                  9
perforan                                1
perforando                              1
perforaron                              1
perforé                                 1
perforó                                 1
perfumado                               1
perfumar                                1
perfume                                 3
pericias                                1
periferia                               3
perilla                                 1
periodismo                              1
periodista                              7
periodistas                             8
periodo                                 2
periplo                                 1
periódicamente                          1
periódico                               3
perla                                   1
perlas                                  1
permanece                               1
permanente                              1
permea                                  1
permeaba                                1
permiso                                 1
permita                                 3
permite                                14
permiten                                3
permitido                               1
permitiera                              3
permitieron                             1
permitir                                1
permitiré                               2
permitiría                              2
permitió                                2
permitía                                4
permitían                               4
permítame                               1
pernil                                  1
perogrullo                              1
perpetua                                3
perpetuado                              1
perpetuando                             1
perpetuar                               2
perpetuarlas                            1
perpetuas                               3
perpetúan                               1
perpleja                                1
perplejos                               1
perro                                   3
perros                                  9
persecusión                             1
perseguir                               1
perseguía                               3
persguió                                1
persigue                                3
persona                                32
personaje                               5
personajes                              6
personal                               19
personales                              1
personalidad                            1
personalidades                          1
personalmente                           2
personas                               21
personificación                         1
personita                               1
perspectiva                             7
perspectivas                            2
pertenece                               4
pertenecen                              3
perteneces                              1
pertenecía                              1
pertenecían                             1
pertenencia                             3
pertenencias                            2
pertenezco                              1
perturba                                1
perturbación                            2
peruano                                11
peruanos                                2
pervertir                               1
perímetro                               2
período                                 1
perón                                   1
pesa                                    4
pesaba                                  1
pesaban                                 1
pesada                                  9
pesadamente                             1
pesadez                                 5
pesadilla                               7
pesadillas                              6
pesado                                  3
pesados                                 2
pesadumbre                              1
pesan                                   2
pesar                                  24
pesares                                 1
pesarlo                                 1
pescado                                 1
pescador                                1
pescar                                  2
peso                                   10
pesos                                   1
pessoa                                  3
pestilente                              2
petaquita                               1
peter                                   1
petit                                   2
petrificada                             1
petrificado                             5
petrificaron                            1
petulancia                              1
peyote                                  1
pez                                     2
peñaranda                               3
peón                                    1
phoenix                                 1
photo                                  13
photos                                  6
piadoso                                 1
piano                                   3
pica                                    1
picada                                  1
picadero                                1
picado                                  1
picados                                 1
picadura                                1
picaduras                               1
picante                                 2
picapiedra                              1
picaporte                               1
picardía                                1
pico                                   11
picor                                   1
picos                                   5
picotazos                               4
picoteaban                              3
picotear                                2
picotearon                              1
picoteó                                 1
pictogramas                             1
picó                                    1
pide                                    7
piden                                   1
pidiendo                                3
pidiera                                 1
pidieron                                1
pidió                                   8
pido                                    6
pie                                    14
piedad                                  3
piedra                                  9
piedras                                 3
piel                                   33
pielonefritis                           1
piensa                                  2
piensan                                 2
piensas                                 1
piense                                 12
pienses                                 1
pienso                                 16
pierde                                  5
pierden                                 1
pierdo                                  5
pierna                                  2
piernas                                12
pies                                   10
pieza                                   8
piezas                                  1
pigmentan                               1
pila                                    2
pilares                                 1
pilas                                   2
pileta                                  2
pilló                                   1
pinar                                   1
pinceladas                              1
pinceles                                1
pincharme                               1
pinches                                 1
pino                                    1
pinochet                                1
pinta                                   1
pintadas                                1
pintado                                 2
pintados                                2
pintor                                  1
pinturas                                1
piojos                                  3
pionera                                 1
pioneros                                1
pipa                                    1
pique                                   3
pirata                                  2
pis                                     1
pisacorbata                             1
pisar                                   2
piso                                   20
pisos                                   1
pisoteada                               1
pista                                   2
pistas                                  2
pistola                                10
pistolas                                2
pitada                                  3
pitch                                   3
pixelada                                1
pixies                                  1
pizza                                   1
pizzas                                  2
pizzería                                1
piénselo                                1
placa                                   1
place                                   1
placentera                              1
placentero                              1
placer                                 20
placeres                                1
placidos                                1
plaga                                   1
plagar                                  1
plan                                    8
plana                                   3
planchada                               1
planchas                                1
planchó                                 1
planeación                              3
planeado                                2
planes                                  4
plano                                   2
plantar                                 1
plantea                                 7
planteaba                               3
planteado                               1
planteamiento                           6
planteamientos                          3
plantear                                3
plantearme                              1
plantearon                              1
plantee                                 1
planteo                                 1
plantó                                  1
plaquetas                               5
plasma                                  2
plasmado                                1
plasmando                               1
plasmó                                  1
plata                                   5
plataforma                              5
plataformas                             1
platillo                                2
platillos                               2
plato                                   2
platos                                  2
platón                                  8
platónica                               1
play                                    2
playa                                   2
plaza                                  12
plazca                                  1
plazo                                   3
pleito                                  1
plena                                   3
plenamente                              1
pleuresía                               1
plexiglass                              1
pliegan                                 1
pliegues                                2
plomada                                 1
plomo                                   6
pluma                                   7
plumaje                                 5
plumas                                 17
plumita                                 1
plumífero                               1
pluripotencial                          1
plusvalía                               1
plácidamente                            2
plátano                                 1
pms                                     4
población                               3
poblada                                 1
pobre                                   6
pobredumbre                             1
pobres                                  3
pobreza                                 4
poca                                    2
pocas                                  10
pocillo                                 1
poco                                   84
pocos                                  10
podamos                                 7
podemos                                 9
poderes                                 2
poderosa                                3
poderoso                                2
poderte                                 1
podido                                 12
podredumbre                             2
podremos                                3
podrida                                 2
podridas                                1
podrá                                   8
podrán                                  4
podré                                   5
podría                                 56
podríamos                               7
podrían                                 5
podés                                   4
podía                                  60
podíamos                                5
podían                                  8
poema                                   7
poemas                                  1
poesía                                  8
poeta                                   5
poetas                                  1
policial                                1
policía                                21
policías                                6
polimórfico                             1
polisemismo                             1
polisémico                              1
politica                                1
politicamente                           1
politicas                               1
politico                                3
politicos                               1
polluelo                                1
polluelos                               2
polvo                                  13
polvos                                  1
política                               13
políticas                               2
político                                4
políticos                               1
pomposos                                1
ponderar                                1
pone                                    3
ponen                                   1
poner                                   4
ponerle                                 1
ponerlo                                 1
ponerme                                 1
ponerse                                 2
ponga                                   2
pongale                                 1
ponganse                                1
pongo                                   3
pony                                    1
ponzoñosos                              1
ponía                                   3
populacho                               1
popular                                 4
populares                               1
popularización                          1
populi                                  1
populus                                 1
poquito                                 1
poquísimas                              1
porcelana                               1
porción                                 1
porno                                   1
poro                                    3
poros                                   4
porosidad                               3
porquería                               1
porqué                                 38
porritos                                1
porro                                  11
porta                                   2
portada                                 2
portadores                              1
portal                                  3
portazos                                1
porte                                   2
portero                                 2
portón                                  2
posaba                                  2
posaban                                 1
posado                                  2
posaron                                 1
posarse                                 1
pose                                    1
posea                                   1
posee                                   2
poseedor                                1
poseer                                  1
poses                                   1
poseía                                  1
posibilidad                             4
posibilidades                           3
posible                                19
posiblemente                            1
posiciones                              1
posición                               12
positivamente                           1
positivismo                             6
positivo                                2
positivos                               1
posmodernista                           1
post                                    6
postdata                                3
postdonación                            1
posterior                               1
posteriores                             1
postes                                  1
postguerra                              1
postiza                                 1
postmoderno                             1
postre                                  2
posts                                   1
postulan                                1
postura                                11
posturas                                1
posó                                    7
potencia                                2
potencial                               2
potencias                               2
potentes                                1
potrero                                 7
poética                                 2
poéticas                                1
practica                                1
practicado                              2
practicas                               1
pradera                                 3
praxis                                  1
preadolescencia                         1
prebenda                                1
prebiótico                              1
precaria                                1
precarios                               2
precaución                              2
precede                                 1
precedente                              1
preceptos                               1
preciado                                2
precio                                  2
precios                                 2
precipitaba                             1
precipite                               2
precisa                                 4
precisaba                               2
precisaban                              2
precisamente                           19
precisarán                              1
precisarían                             1
precisas                                3
precisión                              11
preciso                                17
precisos                                1
precisábamos                            1
precisó                                 1
precocida                               1
predecible                              3
predecibles                             1
predetermina                            1
predeterminada                          1
predica                                 2
predilecto                              2
prefabricada                            2
preferencia                             3
preferencial                            1
preferir                                1
preferiría                              3
prefería                                4
prefiere                                2
prefieren                               1
prefiero                                1
prefijo                                 1
prefirió                                2
pregunta                               29
preguntaba                              4
preguntaban                             1
preguntado                              2
preguntan                               1
preguntando                             4
preguntar                               7
preguntarle                             2
preguntarme                             2
preguntaron                             2
preguntarse                             3
preguntas                              26
pregunte                                2
pregunto                               16
preguntándome                           1
preguntándose                           1
pregunté                                2
preguntó                               22
pregúntele                              2
pregúntese                              1
pregúnteselo                            1
prehistoria                             1
prehistóricos                           1
prejuicios                              1
prejuiciosa                             1
premeditado                             1
premia                                  1
premiado                                1
premio                                  2
premios                                 1
premisa                                 1
premonición                             1
premura                                 3
prenda                                  1
prendas                                 1
prende                                  1
prenderle                               1
prendió                                 2
prendí                                  1
prensada                                1
prensado                                1
preocupa                                3
preocupaba                              1
preocupaciones                          1
preocupación                            6
preocupado                              6
preocupados                             2
preocupan                               1
preocuparse                             1
preocupe                                2
preocupés                               1
preocupó                                1
preparaba                               3
preparado                               5
preparando                              1
preparar                                3
preparara                               1
preparate                               1
preparativos                            1
preparo                                 2
preparándome                            1
preparándose                            1
preparó                                 1
prepubertad                             1
prerrogativa                            1
presa                                   8
presagio                                1
presencia                              34
presenciaba                             1
presenciar                              1
presenta                                6
presentaba                              2
presentación                            1
presentador                             1
presentan                               1
presentar                               1
presentarse                             4
presentaría                             1
presente                                8
presentes                               3
presentimiento                          1
presenté                                1
presentó                                1
preservativos                           1
presidencial                            4
presidenciales                          1
presidente                              5
presidir                                1
presiona                                1
presionada                              1
presionar                               2
presiono                                1
presión                                13
preso                                   2
presta                                  1
prestaba                                1
prestaciones                            1
prestado                                1
prestan                                 1
prestar                                 1
preste                                  1
prestigiosa                             2
presto                                  1
presuntuosamente                        1
presupuesto                             2
pretenciosos                            1
pretende                                1
pretenden                               1
pretender                               5
pretendes                               1
pretendida                              1
pretendiendo                            1
pretendió                               1
pretendo                                1
pretexto                                2
pretextos                               1
prever                                  1
preveíamos                              1
previa                                  1
previamente                             2
previo                                  1
previsibilidad                          1
previsible                              2
prima                                   4
primaba                                 1
primaria                                3
primarios                               3
primas                                  3
primavera                               3
primaverales                            1
prime                                   1
primer                                 21
primera                                38
primeramente                            1
primeras                                2
primero                                29
primeros                                9
primo                                   6
primos                                  1
princesa                                2
princip                                 1
principal                               8
principales                             2
principalmente                          1
principiante                            2
principio                              10
principios                              2
priori                                  1
prioridad                               1
prisa                                   6
prisas                                  1
prisión                                 1
pristinos                               1
privados                                2
privilegiada                            2
privilegio                              6
prnl                                    4
pro                                     1
probabilidad                            2
probable                                5
probablemente                           1
probador                                1
probando                                1
probar                                  1
problema                               32
problemas                              17
probé                                   1
procedimientos                          1
procesada                               1
procesar                                1
proceso                                 8
procesos                                2
procreación                             1
procura                                 1
procuraba                               2
procurado                               2
procurador                              1
procurando                              1
procurar                                1
procurarme                              1
procurarse                              1
procuró                                 1
producción                              4
produce                                 1
producir                                2
productivo                              2
producto                                5
productos                               3
produjo                                 1
profana                                 1
profano                                 1
profe                                   2
profesa                                 1
profesaban                              2
profesional                             1
profesionales                           2
profesiones                             1
profeso                                 1
profesor                                5
profesora                               2
profesores                              4
profunda                                7
profundamente                          27
profundas                               2
profundidades                           1
profundizó                              1
profundo                               14
profundos                               6
progenitores                            1
programa                                3
programación                            1
programadores                           1
progresado                              1
progresar                               1
progreso                                2
progresó                                1
prohibida                               1
prohibidas                              2
prohibido                               3
prohibidos                              1
prolifica                               1
prolongado                              2
promesa                                 5
promesas                                3
promete                                 1
prometeo                                1
prometida                               1
prometido                               1
prometió                                3
prometí                                 3
prometían                               1
prominente                              2
promiscuidad                            1
promiscuo                               2
promocionan                             1
promulgado                              1
pronazis                                1
pronto                                 46
pronunciados                            1
pronunciar                              1
propagación                             1
propagó                                 1
propia                                 17
propiamente                             6
propias                                12
propicio                                1
propina                                 2
propinas                                1
propinándole                            1
propio                                 12
propios                                 6
propondré                               1
propone                                 4
proponer                                1
propongo                                4
proporciones                            2
proprio                                 1
propuesta                               2
propuesto                               1
propuestos                              1
propuse                                 3
propuso                                 1
propósito                               5
prosa                                   1
proselitismo                            1
prosigo                                 1
prosigue                                2
prostitutas                             2
prostíbulo                              1
protagonista                            1
protección                              1
protectores                             1
proteger                                4
protegerte                              1
protegerá                               1
protegido                               2
protesta                                1
protestas                               1
protestó                                1
protocolar                              1
protocolario                            1
protocolo                              10
protocolos                              1
provecho                                1
provee                                  1
proveedor                               1
proveedores                             1
proveeduría                             1
proveerle                               1
provenía                                1
proveía                                 2
proveían                                1
proveídas                               1
providencialismo                        1
provincia                               1
provisiones                             1
provistas                               1
proyecciones                            2
proyección                              2
proyecta                                1
proyectaba                              2
proyectado                              1
proyectar                               1
proyectiles                             1
proyecto                                7
prueba                                 10
pruebas                                 4
prusiano                                2
práctica                                5
prácticas                               1
práctico                                2
prácticos                               2
príncipe                                2
prístina                                2
prófugo                                 1
prótesis                                2
próximo                                 5
pseudofascista                          1
psicoactivas                            1
psicoanalistas                          1
psicoanálisis                           1
psicodelia                              2
psicosis                                3
psicólogos                              1
psiquiatra                              1
psiquiatras                             3
psiquiatría                             1
pst                                     1
ptthkbeqw                               1
pubertad                                1
puberto                                 1
publicaciones                           1
publicación                             2
publicado                               1
publicando                              1
publicar                                2
publicidad                              2
publico                                 1
pude                                   15
pudiendo                                1
pudiera                                18
pudieran                                3
pudieron                                4
pudiese                                 1
pudiesen                                1
pudimos                                 4
pudiéramos                              1
pudor                                   2
pudriendo                               2
pudrirse                                1
pudriéndose                             1
pueblo                                  9
pueda                                  21
puedan                                  2
puedas                                  1
puedes                                  1
puedieramos                             1
puedira                                 1
puedo                                  36
puente                                  8
puerquito                               2
puerta                                 43
puertas                                 4
puerto                                  4
puesta                                  2
puesto                                 12
puestos                                 1
puja                                    1
pulgar                                  3
pulgas                                  1
pulidas                                 3
pulido                                  1
puliendo                                1
pulir                                   3
pulmonares                              1
pulmones                                8
pulsante                                1
pulsiones                               1
pulsión                                 3
pulso                                   1
pulsó                                   1
pululante                               1
pululen                                 1
punta                                   8
puntería                                1
puntiar                                 1
punticos                                1
puntitos                                1
punto                                  50
puntos                                 10
puntualidad                             1
puntualmente                            1
puntualísimo                            1
punzada                                 1
pupila                                  2
pupilas                                 4
pura                                    9
puritanismo                             1
puro                                    4
puré                                    1
puse                                    4
pusieron                                3
puso                                   15
puta                                    8
putiadas                                1
putin                                   1
putrefacta                              1
puñado                                  2
puñados                                 1
puñal                                   1
puñecitos                               1
puño                                    1
página                                  5
páginas                                 2
pájaro                                 19
pájaros                                 2
pálida                                  3
pálido                                  2
pámpanos                                1
pánico                                 19
párpados                                5
párrafo                                 2
pérdida                                 1
pérez                                  26
pétalos                                 1
pétrea                                  1
pétreas                                 1
póker                                   3
pólvora                                 3
púa                                     1
púas                                    1
pública                                 6
público                                13
públicos                                2
quebrada                                1
quebrado                                1
quebrar                                 4
quebrarlos                              1
quebrarse                               1
quebrándose                             1
quebró                                  4
queda                                  36
quedaba                                17
quedaban                                3
quedado                                 4
quedamos                                4
quedan                                  6
quedando                                1
quedar                                  6
quedara                                 2
quedaremos                              1
quedarme                                3
quedaron                                8
quedarse                                6
quedarte                                1
quedaría                                2
queden                                  1
quedo                                  11
